I	Y	X
204506	427.05	370
698663	431.04	406
916466	431.53	374
179546	436.8	318
971922	439.45	394
965007	439.91	438
235062	440.35	454
8194	440.86	446
270100	441.14	406
717340	441.44	294
590438	442.42	374
529282	443.07	366
602470	443.19	402
455050	443.34	246
992553	445.81	506
790605	448.17	334
288289	448.83	442
402738	449.4	314
605632	449.85	390
505004	450.76	362
18523	450.98	410
922934	451.53	494
362768	451.85	286
167486	452.13	322
861556	452.5	314
286420	452.91	438
947230	453.03	334
254559	453.63	482
34883	453.86	350
221232	453.92	518
437188	454.19	358
712388	454.5	330
523936	455.02	438
805008	455.75	414
235417	455.85	394
796144	455.92	458
29009	456.17	402
973015	456.64	454
521510	456.76	398
693704	457.81	414
357523	458.39	418
817383	458.62	478
180039	458.88	234
532699	458.91	462
106090	458.91	414
874597	459.32	386
318426	459.53	394
554136	459.9	382
389814	460.22	454
350045	460.46	414
142623	460.86	446
500939	461.14	390
934448	461.27	294
11615	461.3	358
567866	461.32	314
183360	461.55	238
284877	462.09	486
433569	462.27	454
905078	463.92	430
677271	463.93	426
648653	464	318
876222	464.07	342
126164	464.28	322
166724	464.5	274
50049	465.22	398
467240	465.26	222
290835	465.56	438
969058	465.64	458
444134	465.68	558
204580	465.72	482
469164	466.01	438
12113	466.05	446
651864	466.7	454
130097	466.87	526
899767	467.13	406
127581	467.15	242
926546	467.15	394
765125	467.51	390
65274	467.73	454
720712	467.88	450
996603	468.09	350
946505	468.39	358
531720	468.67	470
135943	468.88	462
78450	469.13	386
706890	469.14	430
210768	469.19	418
638246	469.7	366
501004	469.9	410
260217	470	474
941781	470.17	426
894596	470.64	326
282180	471.07	398
416114	471.28	442
714227	471.7	354
248222	471.77	442
880796	471.97	326
334838	472.03	370
505011	472.06	430
321335	472.24	322
97301	472.31	410
721452	472.53	450
220702	472.71	406
965977	472.78	366
388100	473.35	422
504711	473.43	498
838684	473.72	394
574271	473.98	330
161000	474.13	510
217332	474.28	342
259435	474.54	414
161099	474.91	514
908331	475.2	426
604225	475.32	362
13171	475.48	470
188122	475.75	542
125195	475.9	422
282932	476	514
861414	476.56	490
659454	476.63	314
535320	476.7	554
719634	476.76	414
318868	476.84	210
348864	476.97	362
965333	477.04	330
602804	477.24	418
824768	477.7	398
665471	477.7	514
737306	477.94	454
498733	478.02	462
921181	478.02	430
127398	478.19	450
855045	478.43	394
676885	478.47	430
649531	478.49	334
372795	478.5	370
837566	478.58	294
72417	478.66	286
776755	478.69	458
409913	478.71	350
928103	478.75	334
531235	478.79	346
18349	478.98	494
352095	479.55	446
903898	479.57	434
800215	479.76	486
258181	479.92	330
931071	479.98	438
46332	480.17	478
678971	480.25	370
880995	480.41	510
492279	480.59	362
821427	480.62	470
935059	480.67	462
342200	480.86	362
233722	480.88	498
280153	480.92	498
801608	480.97	374
108905	481.05	394
931654	481.15	414
626899	481.29	302
835192	481.43	402
14551	481.48	406
862193	481.56	486
879626	482.06	442
934215	482.07	438
805040	482.22	518
38140	482.38	330
643213	482.47	346
438074	482.52	426
22853	482.55	282
418830	482.56	522
910824	482.63	446
36275	482.76	430
931934	482.84	506
263121	482.88	518
954344	482.91	318
850126	482.99	414
746274	483.05	502
402991	483.14	450
29280	483.19	402
515839	483.26	426
102582	483.52	306
2669	483.58	342
710562	483.59	302
72229	483.77	306
480429	483.84	426
91074	483.92	550
929054	483.92	490
715083	483.96	298
113225	483.99	418
902671	483.99	502
653947	484.13	450
929973	484.13	294
725209	484.18	506
777645	484.23	494
680786	484.29	510
924710	484.3	202
984466	484.39	434
612220	484.43	382
762631	484.58	454
536472	484.59	414
53746	484.68	546
711019	484.78	354
769421	484.8	514
763008	485.13	462
100124	485.15	314
247445	485.16	482
976290	485.24	386
426066	485.38	270
252834	485.4	458
560006	485.48	590
582595	485.76	430
855933	486.1	446
773120	486.21	454
419347	486.26	442
244766	486.31	434
117658	486.53	454
612379	486.75	298
241403	486.85	478
296091	486.89	306
824060	486.96	378
186944	486.98	394
616924	486.99	246
622472	487.09	466
327753	487.14	502
737737	487.14	498
960123	487.22	170
469981	487.32	466
768449	487.36	386
689673	487.42	486
87828	487.45	346
570513	487.52	478
262414	487.55	538
853954	487.75	498
265799	487.83	398
363823	487.95	310
406524	487.99	186
91317	488	474
766768	488.03	426
469023	488.16	606
328552	488.19	438
160437	488.19	498
551672	488.26	486
973289	488.4	630
813524	488.55	430
155443	488.61	374
149936	488.68	474
220955	488.7	510
274730	488.85	270
555285	488.86	410
627353	488.89	386
527096	488.89	334
889984	488.9	462
92943	489.03	374
976761	489.04	446
440638	489.17	422
405255	489.26	442
772647	489.26	582
236522	489.32	546
442287	489.43	474
274405	489.49	502
528752	489.5	518
589752	489.57	562
647253	489.7	410
381784	489.73	434
552667	489.74	382
678830	489.78	430
874490	489.94	382
776625	490.18	430
869102	490.19	454
93336	490.3	518
946343	490.33	242
123030	490.56	254
712587	490.82	426
731875	490.94	470
187253	490.98	542
617816	491.16	502
379883	491.45	438
361395	491.69	494
827809	491.87	442
166607	491.92	386
601880	491.94	458
276240	491.95	362
261649	491.97	534
126552	492.01	398
31940	492.04	490
28626	492.05	390
284171	492.09	366
505225	492.09	430
807413	492.1	558
401387	492.2	514
10392	492.3	174
428843	492.37	478
645942	492.38	338
814867	492.45	306
787953	492.49	446
506776	492.51	450
791961	492.75	442
368047	492.76	426
321443	492.89	434
909140	492.93	550
801727	492.94	442
842966	493.04	470
318144	493.3	626
276090	493.39	478
939215	493.41	506
511395	493.46	338
347040	493.52	422
301699	493.6	534
342868	493.6	534
264129	493.68	374
700686	493.81	242
807442	493.87	374
881760	493.88	530
500027	493.91	414
745246	493.91	426
413281	493.98	426
497951	494.02	514
894462	494.11	346
987938	494.32	430
983934	494.33	322
970773	494.37	306
735050	494.43	542
652959	494.55	574
463891	494.64	506
734152	494.8	490
555742	494.85	426
538353	495.08	446
587017	495.23	454
444209	495.31	370
315735	495.31	278
596309	495.58	418
202547	495.62	406
49466	495.79	326
596826	495.89	238
305232	496.21	338
93526	496.28	466
777535	496.44	490
826322	496.46	182
314555	496.47	470
583665	496.6	530
470359	496.62	530
41505	496.66	434
17677	496.67	314
468315	496.81	274
97798	496.88	434
916179	496.89	322
767025	496.89	494
980157	497.03	562
642348	497.04	302
906723	497.04	502
138445	497.1	566
309260	497.17	354
964923	497.19	406
566932	497.3	550
232713	497.44	438
290773	497.6	506
374682	497.72	418
384319	497.74	510
625320	497.86	462
582609	497.87	290
153387	497.9	362
331519	497.92	258
202866	497.95	446
34536	498.05	258
273732	498.05	510
661685	498.06	466
440671	498.07	550
614354	498.07	498
3024	498.14	442
655596	498.17	474
220503	498.26	610
824394	498.28	302
963056	498.49	186
668213	498.51	518
542827	498.6	502
876394	498.61	498
714009	498.65	370
913048	498.84	566
895764	498.88	522
415821	499.06	306
792967	499.09	518
417307	499.17	574
12752	499.19	578
761	499.24	626
71628	499.35	698
609124	499.5	422
176316	499.53	270
216848	499.94	414
784184	500.05	558
322951	500.08	270
918112	500.12	366
859234	500.2	450
348126	500.29	510
151135	500.3	538
991052	500.57	346
87468	500.67	354
906593	500.83	450
714430	500.96	518
721931	501.05	470
149110	501.14	610
882418	501.16	366
256733	501.2	418
163872	501.43	390
952973	501.49	650
124520	501.52	470
386134	501.54	442
160277	501.55	470
896762	501.69	446
957353	501.72	538
247228	501.94	546
652370	502.01	582
234208	502.1	418
853641	502.14	554
975022	502.19	226
639421	502.37	562
249523	502.4	718
362935	502.56	322
21632	502.58	406
681474	502.81	490
817303	502.94	282
20577	502.94	490
843379	503.06	586
319211	503.23	566
317999	503.41	466
43497	503.42	670
492448	503.53	450
125264	503.58	546
224124	503.59	490
765156	503.62	270
274168	503.69	562
409588	503.77	518
603354	503.93	490
538965	504.03	450
267550	504.12	410
492061	504.12	414
253233	504.15	446
737657	504.32	446
158057	504.46	498
45854	504.56	566
720858	504.66	478
158328	504.83	354
469375	504.84	398
149046	504.85	490
685308	504.87	490
527144	505.03	702
654487	505.07	502
718705	505.08	490
458731	505.1	498
594123	505.21	382
410021	505.22	574
469899	505.29	566
905705	505.4	470
434849	505.41	710
721652	505.5	674
453519	505.6	398
224869	505.64	486
208562	505.92	394
319973	506.05	538
219603	506.06	638
897178	506.11	642
966994	506.16	570
219687	506.26	522
53310	506.26	574
115266	506.32	478
811619	506.44	398
608551	506.46	278
221406	506.66	722
455942	506.73	382
618129	506.76	486
42947	506.77	798
407354	507.07	522
633340	507.11	290
171630	507.38	490
867511	507.43	582
380584	507.53	542
181609	507.68	374
727251	507.78	478
549934	507.85	534
221292	507.93	362
938330	507.95	606
832043	507.99	382
385936	508.14	418
715310	508.25	498
728240	508.34	466
142405	508.36	462
259873	508.45	502
342666	508.59	506
151347	508.68	570
932975	508.71	330
156151	508.73	326
776057	508.79	514
450605	508.81	558
368341	508.82	446
269131	508.83	626
978680	508.84	650
18793	509.06	534
529402	509.06	806
415911	509.07	538
199390	509.11	362
547794	509.13	434
262147	509.16	550
49240	509.22	618
521809	509.27	290
698719	509.31	482
120365	509.61	342
628285	509.65	546
605009	509.75	266
260577	509.8	814
488681	510.03	758
200048	510.07	398
228326	510.21	358
892855	510.26	842
900944	510.33	454
150784	510.38	278
44121	510.39	274
665960	510.42	774
839015	510.44	646
120260	510.5	522
374854	510.61	466
860849	510.64	686
412310	510.64	834
911736	510.78	530
462915	510.89	246
758142	511.03	370
954694	511.04	630
152526	511.06	622
951259	511.11	430
385782	511.15	506
977233	511.16	478
655365	511.21	466
339385	511.26	826
696079	511.29	250
194934	511.34	474
87410	511.35	454
344541	511.42	478
647916	511.52	530
999793	511.57	730
544696	511.62	590
682579	511.71	298
358332	511.88	526
347538	511.89	458
578517	512	442
85105	512.07	346
206860	512.3	462
345967	512.38	410
653353	512.49	650
781255	512.58	490
373181	512.65	810
515419	512.66	642
313594	512.9	474
832818	512.95	622
463873	513.03	498
913922	513.08	666
553735	513.09	542
960798	513.13	486
429587	513.21	326
883937	513.3	574
469998	513.32	658
872775	513.33	630
218748	513.54	466
312432	513.62	646
57106	513.64	622
427984	513.76	542
485129	513.92	490
379526	513.97	570
944113	514.03	590
96876	514.06	302
985822	514.15	614
98002	514.23	526
976348	514.23	458
686317	514.27	542
772594	514.33	574
344125	514.5	510
750095	514.77	758
192984	514.82	526
455207	514.82	802
958813	514.91	578
189679	515.01	682
643830	515.08	526
857184	515.17	474
933256	515.22	650
94987	515.45	526
629825	515.46	522
63595	515.51	490
709377	515.6	598
408632	515.69	566
300074	515.74	702
804829	515.83	386
157650	515.86	534
349360	515.9	730
581212	515.98	622
286867	516.05	694
182508	516.11	794
359257	516.13	550
110123	516.16	690
